platform,keyword,title,content,sentiment,publish_time,url,crawl_time
新浪财经,iPhone 17 续航,2026学生季最值得购买的苹果手机 - 新浪财经,2026学生季最值得购买的苹果手机 新浪财经,中性,2026-06-02,https://news.google.com/rss/articles/CBMifkFVX3lxTFBHRk4wekhkN3VQcENDOGtqRmRYZ2ZiYW9CU0U3T21zMVpKTl80Tk9aMl9WWWlmcDhJSUM0MS1GdTNuZUxNbmE1RjF6NzBXZHJtal92M2hqQWlublp5dFc2dUo0ZW0xYkxGUEtUU3JvdEt3WWU0elRCZzhPLTJkZw?oc=5,2026-06-28 17:09:37
36氪,iPhone 17 续航,用iPhone Air三个月体验：续航表现出色，游戏用户慎选！ - 36氪,用iPhone Air三个月体验：续航表现出色，游戏用户慎选！ 36氪,中性,2026-04-08,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9rMFMtNjZkZlhXZnhMS3JuWWlEcHZsMEtWbS1jQm81amVlY3lmUFdPbGNjaWI1d1RuNW5ZZml1emRUS0lyTUlLZnlXNXBLcUl3WnBV?oc=5,2026-06-28 17:09:37
凤凰网,iPhone 17 续航,iPhone 17系列首发评测：标准版太香了，显得Pro不强了？ ｜ 凰家评测 - 凤凰网,iPhone 17系列首发评测：标准版太香了，显得Pro不强了？ ｜ 凰家评测 凤凰网,正面,2025-09-17,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5GMjRmSGtYTlFBUHFrd3ZYVEd3VUgwSGIxbDhqUkFrb2RlaDZJa3QySWJUclp5RHZETF9kb3c1dWRDRGhoTjN2bl9wMzdnd3M?oc=5,2026-06-28 17:09:37
antutu.com,iPhone 17 续航,3月iOS设备好评榜：iPhone 17 Pro Max被嫌弃_月度榜单_安兔兔 - antutu.com,3月iOS设备好评榜：iPhone 17 Pro Max被嫌弃_月度榜单_安兔兔 antutu.com,中性,2026-04-01,https://news.google.com/rss/articles/CBMiTkFVX3lxTE1qdUhmRUhQMFNCRHNXWHFmSFhrWjYwRTdMTHBBUTRjSFl3bi1uOF9FbDEwSkdNTUVwMW9tQXJTeU5zVmhDY25peTIwQTl6Zw?oc=5,2026-06-28 17:09:37
中关村在线,iPhone 17 续航,高性能小屏旗舰怎么选？2026三大热门机型横评：一加15T、iPhone 17、小米17 - 中关村在线,高性能小屏旗舰怎么选？2026三大热门机型横评：一加15T、iPhone 17、小米17 中关村在线,中性,2026-06-09,https://news.google.com/rss/articles/CBMiV0FVX3lxTE9paEVreWtxUHJUcWdGazRScmU2a2luRDAtdTNJLVFKMEc0aWJmSi1Rd1hVenpRdGZIYTRDQWRwY2dxN3c3RGJHa1NnYU52TkRFcVFjaTl1NA?oc=5,2026-06-28 17:09:37
爱范儿,iPhone 17 续航,iPhone Air 港版评测：瘸腿是真瘸腿，好看也是真好看 - 爱范儿,iPhone Air 港版评测：瘸腿是真瘸腿，好看也是真好看 爱范儿,中性,2025-10-18,https://news.google.com/rss/articles/CBMiQ0FVX3lxTE5KcUxTQlVMVTE2Ui1fOHluY3hSZ0tLQWxFM0NfNDZBZmRSQlNaeGVKQk5PNGk2a3JhTU9tbnphSGlWbk0?oc=5,2026-06-28 17:09:37
动点科技,iPhone 17 续航,很喜欢iPhone 17，但我不想买 - 动点科技,很喜欢iPhone 17，但我不想买 动点科技,中性,2025-09-10,https://news.google.com/rss/articles/CBMiaEFVX3lxTE44MjJyVlE3WGw4SEcxcnA2cEZ1Rzc1d0xrQk91NUxVYlFjc2ZyUzQ2RU9SR0pMbWRQLWVzdmYzN2hwdUk4akdmelZfYnNDMzNZSm5XTVZpNzFILVBLWWJRbmNYT2dPNWND?oc=5,2026-06-28 17:09:37
华尔街日报中文网,iPhone 17 续航,iPhone Air初评测：为纤薄做出的牺牲是否值得呢？ - 华尔街日报中文网,iPhone Air初评测：为纤薄做出的牺牲是否值得呢？ 华尔街日报中文网,中性,2025-09-10,https://news.google.com/rss/articles/CBMiekFVX3lxTE1HcDZnM01sS1Q4Z2pNZnI0dkVzQkpTS18zTGxSLURwUFFZZnVFMVFhVzVkXzdneFpIMk8xaE1nUTRUQmlUWG84OWtEeHFmSWRuWG5WSGJkZ0ozbUtjS2c1M2VKWHpBWmJLcjZMcDNYMmZSRDN1LVRvVWpn?oc=5,2026-06-28 17:09:37
维科号,iPhone 17 续航,知错就改？iPhone 17e被曝重点升级续航，售价也会有惊喜！ - 维科号,知错就改？iPhone 17e被曝重点升级续航，售价也会有惊喜！ 维科号,中性,2025-11-24,https://news.google.com/rss/articles/CBMiVEFVX3lxTFBrcThob0tEbG5sZ0N5ZEd0aGFuTXV3Y1BiSnRaU1FabnZhamNBZzRoSnZEcTNra0ZNeE1UZzFmTXA5cXp3UGNPbXIxRVlDMzZFT3ZmZA?oc=5,2026-06-28 17:09:37
中华网,iPhone 17 续航,苹果用户充电难题破解！绿联MFi认证充电宝成口碑首选 - 中华网,苹果用户充电难题破解！绿联MFi认证充电宝成口碑首选 中华网,中性,2026-05-13,https://news.google.com/rss/articles/CBMicEFVX3lxTE9zNkZZcWR5YV91WDNYSjBhbHk5U2Q2emdpYWY2SDctMHJnV1BTdS0yalJ3dUloakwxZFR4ZkNZLXF6OWc1V1FlLXFWdllMZURCWVpYeWhYRGx0SkZyVEJ1X1lCNnpydVVtYkFZMHo2QUE?oc=5,2026-06-28 17:09:37
